DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
05/01/2023,NIGHT,4 1 7,"2,803","$372,530"
05/01/2023,EVENING,2 5 9,"2,839","$256,123"
05/01/2023,MIDDAY,2 1 3,"19,736","$2,155,427"
04/30/2023,NIGHT,6 5 0,"1,041","$87,062"
04/30/2023,EVENING,2 0 3,"3,331","$321,664"
04/30/2023,MIDDAY,3 0 2,"2,635","$282,884"
04/29/2023,NIGHT,5 2 2,"3,053","$555,280"
04/29/2023,EVENING,3 0 0,"1,913","$333,979"
04/29/2023,MIDDAY,2 2 2,"16,106","$3,896,093"
04/28/2023,NIGHT,9 2 1,"3,003","$324,331"
04/28/2023,EVENING,3 8 1,"3,098","$228,668"
04/28/2023,MIDDAY,6 2 8,"2,746","$339,443"
04/27/2023,NIGHT,1 5 1,"3,088","$476,965"
04/27/2023,EVENING,6 6 1,"1,588","$229,537"
04/27/2023,MIDDAY,4 6 0,"1,460","$107,543"
04/26/2023,NIGHT,5 5 1,"2,006","$329,546"
04/26/2023,EVENING,8 7 5,"2,112","$233,362"
04/26/2023,MIDDAY,0 7 4,"1,384","$104,932"
04/25/2023,NIGHT,8 3 2,"1,897","$171,461"
04/25/2023,EVENING,7 4 3,"1,070","$99,172"
DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
03/02/2023,NIGHT,1 1 8,"2,562","$434,622"
03/02/2023,EVENING,6 6 1,"1,562","$225,387"
03/02/2023,MIDDAY,8 8 0,"1,701","$244,923"
03/01/2023,NIGHT,3 1 8,"2,611","$346,679"
03/01/2023,EVENING,7 0 3,"2,109","$198,192"
03/01/2023,MIDDAY,6 6 9,"2,352","$458,463"
02/28/2023,NIGHT,2 3 3,"2,741","$400,380"
02/28/2023,EVENING,1 3 3,"5,329","$836,391"
02/28/2023,MIDDAY,6 4 3,"1,688","$187,893"
02/27/2023,NIGHT,4 6 2,"1,302","$99,899"
02/27/2023,EVENING,7 2 7,"2,143","$389,825"
02/27/2023,MIDDAY,9 3 8,"1,330","$130,290"
02/26/2023,NIGHT,8 0 8,"1,365","$244,158"
02/26/2023,EVENING,3 4 8,"1,119","$101,661"
02/26/2023,MIDDAY,8 9 6,971,"$84,860"
02/25/2023,NIGHT,1 2 1,"4,474","$771,746"
02/25/2023,EVENING,8 1 3,"3,747","$443,874"
02/25/2023,MIDDAY,1 6 6,"1,929","$309,335"
02/24/2023,NIGHT,6 5 2,"1,207","$91,775"
