DATE,DRAW,WINNING NUMBERS,winning_digit_1,winning_digit_2,winning_digit_3,winning_number_lag_1,winning_number_lag_2,winning_number_lag_3,winning_number_lag_4,winning_number_lag_5,winning_number_lag_6,winning_number_lag_7,winning_number_lag_8,winning_number_lag_9,winning_number_lag_10,winning_digit_1_lag_1,winning_digit_2_lag_1,winning_digit_3_lag_1,winning_digit_1_lag_2,winning_digit_2_lag_2,winning_digit_3_lag_2,winning_digit_1_lag_3,winning_digit_2_lag_3,winning_digit_3_lag_3,winning_digit_1_lag_4,winning_digit_2_lag_4,winning_digit_3_lag_4,winning_digit_1_lag_5,winning_digit_2_lag_5,winning_digit_3_lag_5,winning_digit_1_lag_6,winning_digit_2_lag_6,winning_digit_3_lag_6,winning_digit_1_lag_7,winning_digit_2_lag_7,winning_digit_3_lag_7,winning_digit_1_lag_8,winning_digit_2_lag_8,winning_digit_3_lag_8,winning_digit_1_lag_9,winning_digit_2_lag_9,winning_digit_3_lag_9,winning_digit_1_lag_10,winning_digit_2_lag_10,winning_digit_3_lag_10
1.3853376e+18,1.0,86.0,0.0,8.0,6.0,931.0,615.0,811.0,653.0,1.0,309.0,919.0,799.0,703.0,712.0,9.0,3.0,1.0,6.0,1.0,5.0,8.0,1.0,1.0,6.0,5.0,3.0,0.0,0.0,1.0,3.0,0.0,9.0,9.0,1.0,9.0,7.0,9.0,9.0,7.0,0.0,3.0,7.0,1.0,2.0
1.3853376e+18,0.0,993.0,9.0,9.0,3.0,86.0,931.0,615.0,811.0,653.0,1.0,309.0,919.0,799.0,703.0,0.0,8.0,6.0,9.0,3.0,1.0,6.0,1.0,5.0,8.0,1.0,1.0,6.0,5.0,3.0,0.0,0.0,1.0,3.0,0.0,9.0,9.0,1.0,9.0,7.0,9.0,9.0,7.0,0.0,3.0
1.385424e+18,1.0,921.0,9.0,2.0,1.0,993.0,86.0,931.0,615.0,811.0,653.0,1.0,309.0,919.0,799.0,9.0,9.0,3.0,0.0,8.0,6.0,9.0,3.0,1.0,6.0,1.0,5.0,8.0,1.0,1.0,6.0,5.0,3.0,0.0,0.0,1.0,3.0,0.0,9.0,9.0,1.0,9.0,7.0,9.0,9.0
1.385424e+18,0.0,487.0,4.0,8.0,7.0,921.0,993.0,86.0,931.0,615.0,811.0,653.0,1.0,309.0,919.0,9.0,2.0,1.0,9.0,9.0,3.0,0.0,8.0,6.0,9.0,3.0,1.0,6.0,1.0,5.0,8.0,1.0,1.0,6.0,5.0,3.0,0.0,0.0,1.0,3.0,0.0,9.0,9.0,1.0,9.0
1.3855104e+18,1.0,647.0,6.0,4.0,7.0,487.0,921.0,993.0,86.0,931.0,615.0,811.0,653.0,1.0,309.0,4.0,8.0,7.0,9.0,2.0,1.0,9.0,9.0,3.0,0.0,8.0,6.0,9.0,3.0,1.0,6.0,1.0,5.0,8.0,1.0,1.0,6.0,5.0,3.0,0.0,0.0,1.0,3.0,0.0,9.0
1.3855104e+18,0.0,288.0,2.0,8.0,8.0,647.0,487.0,921.0,993.0,86.0,931.0,615.0,811.0,653.0,1.0,6.0,4.0,7.0,4.0,8.0,7.0,9.0,2.0,1.0,9.0,9.0,3.0,0.0,8.0,6.0,9.0,3.0,1.0,6.0,1.0,5.0,8.0,1.0,1.0,6.0,5.0,3.0,0.0,0.0,1.0
1.3855968e+18,1.0,131.0,1.0,3.0,1.0,288.0,647.0,487.0,921.0,993.0,86.0,931.0,615.0,811.0,653.0,2.0,8.0,8.0,6.0,4.0,7.0,4.0,8.0,7.0,9.0,2.0,1.0,9.0,9.0,3.0,0.0,8.0,6.0,9.0,3.0,1.0,6.0,1.0,5.0,8.0,1.0,1.0,6.0,5.0,3.0
1.3855968e+18,0.0,434.0,4.0,3.0,4.0,131.0,288.0,647.0,487.0,921.0,993.0,86.0,931.0,615.0,811.0,1.0,3.0,1.0,2.0,8.0,8.0,6.0,4.0,7.0,4.0,8.0,7.0,9.0,2.0,1.0,9.0,9.0,3.0,0.0,8.0,6.0,9.0,3.0,1.0,6.0,1.0,5.0,8.0,1.0,1.0
1.3856832e+18,1.0,276.0,2.0,7.0,6.0,434.0,131.0,288.0,647.0,487.0,921.0,993.0,86.0,931.0,615.0,4.0,3.0,4.0,1.0,3.0,1.0,2.0,8.0,8.0,6.0,4.0,7.0,4.0,8.0,7.0,9.0,2.0,1.0,9.0,9.0,3.0,0.0,8.0,6.0,9.0,3.0,1.0,6.0,1.0,5.0
1.3856832e+18,0.0,291.0,2.0,9.0,1.0,276.0,434.0,131.0,288.0,647.0,487.0,921.0,993.0,86.0,931.0,2.0,7.0,6.0,4.0,3.0,4.0,1.0,3.0,1.0,2.0,8.0,8.0,6.0,4.0,7.0,4.0,8.0,7.0,9.0,2.0,1.0,9.0,9.0,3.0,0.0,8.0,6.0,9.0,3.0,1.0
1.3857696e+18,1.0,394.0,3.0,9.0,4.0,291.0,276.0,434.0,131.0,288.0,647.0,487.0,921.0,993.0,86.0,2.0,9.0,1.0,2.0,7.0,6.0,4.0,3.0,4.0,1.0,3.0,1.0,2.0,8.0,8.0,6.0,4.0,7.0,4.0,8.0,7.0,9.0,2.0,1.0,9.0,9.0,3.0,0.0,8.0,6.0
