DATE,DRAW,WINNING NUMBERS,winning_digit_1,winning_digit_2,winning_digit_3
1518220800.0,1.0,770.0,7.0,7.0,0.0
1518220800.0,2.0,191.0,1.0,9.0,1.0
1518307200.0,0.0,494.0,4.0,9.0,4.0
1518307200.0,1.0,427.0,4.0,2.0,7.0
1518307200.0,2.0,670.0,6.0,7.0,0.0
1518393600.0,0.0,429.0,4.0,2.0,9.0
1518393600.0,1.0,972.0,9.0,7.0,2.0
1518393600.0,2.0,348.0,3.0,4.0,8.0
1518480000.0,2.0,670.0,6.0,7.0,0.0
1518480000.0,1.0,924.0,9.0,2.0,4.0
1518480000.0,0.0,57.0,0.0,5.0,7.0
1518566400.0,0.0,511.0,5.0,1.0,1.0
1518566400.0,1.0,382.0,3.0,8.0,2.0
1518566400.0,2.0,871.0,8.0,7.0,1.0
1518652800.0,0.0,574.0,5.0,7.0,4.0
1518652800.0,1.0,499.0,4.0,9.0,9.0
1518652800.0,2.0,69.0,0.0,6.0,9.0
1518739200.0,2.0,591.0,5.0,9.0,1.0
1518739200.0,0.0,275.0,2.0,7.0,5.0
1518739200.0,1.0,204.0,2.0,0.0,4.0
1518825600.0,0.0,896.0,8.0,9.0,6.0
1518825600.0,1.0,659.0,6.0,5.0,9.0
1518825600.0,2.0,549.0,5.0,4.0,9.0
1518912000.0,1.0,863.0,8.0,6.0,3.0
1518912000.0,0.0,411.0,4.0,1.0,1.0
1518912000.0,2.0,709.0,7.0,0.0,9.0
1518998400.0,0.0,483.0,4.0,8.0,3.0
1518998400.0,1.0,42.0,0.0,4.0,2.0
1518998400.0,2.0,892.0,8.0,9.0,2.0
1519084800.0,0.0,936.0,9.0,3.0,6.0
1519084800.0,1.0,154.0,1.0,5.0,4.0
1519084800.0,2.0,503.0,5.0,0.0,3.0
1519171200.0,2.0,540.0,5.0,4.0,0.0
1519171200.0,0.0,727.0,7.0,2.0,7.0
1519171200.0,1.0,592.0,5.0,9.0,2.0
1519257600.0,0.0,667.0,6.0,6.0,7.0
1519257600.0,1.0,831.0,8.0,3.0,1.0
1519257600.0,2.0,780.0,7.0,8.0,0.0
1519344000.0,2.0,829.0,8.0,2.0,9.0
