DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
10/17/2020,MIDDAY,8 7 2,"1,934","$150,119"
10/16/2020,NIGHT,7 4 8,"1,103","$148,552"
10/16/2020,EVENING,5 3 1,"4,584","$645,093"
10/16/2020,MIDDAY,5 3 3,"1,203","$222,527"
10/15/2020,NIGHT,9 9 4,524,"$105,288"
10/15/2020,EVENING,6 5 6,"1,513","$274,668"
10/15/2020,MIDDAY,7 6 6,"1,033","$159,389"
10/14/2020,NIGHT,1 7 7,"2,206","$476,535"
10/14/2020,EVENING,5 8 2,"2,339","$206,012"
10/14/2020,MIDDAY,5 2 4,"2,269","$318,898"
10/13/2020,NIGHT,8 3 6,"1,397","$142,375"
10/13/2020,EVENING,1 8 3,"3,977","$378,060"
10/13/2020,MIDDAY,4 7 2,"1,697","$153,481"
10/12/2020,NIGHT,2 3 0,"1,483","$127,405"
10/12/2020,EVENING,9 9 3,611,"$98,186"
10/12/2020,MIDDAY,3 7 1,"4,982","$499,136"
10/11/2020,NIGHT,0 1 4,"1,101","$78,747"
10/11/2020,EVENING,8 6 5,"1,135","$108,060"
10/11/2020,MIDDAY,0 7 8,"1,198","$101,319"
10/10/2020,NIGHT,8 8 7,615,"$111,769"
